clinic_name,practice_type,address,city,state,postal_code,phone,website,email,clinic_size,billing_prediction,npi
A NEW DAY MENTAL WELLNESS CENTER LLC,"Counselor, Mental Health",6127 S UNIVERSITY AVE,CHICAGO,IL,60637,(312) 508-3829,www.anewdaymentalwellnesscenter.com,contact@anewdaymentalwellnesscenter.com,Small Group,High,1386296168
"A SAFE HAVEN, L.L.C.","Clinic/Center, Mental Health (Including Community Mental Health Center)",1930 S WABASH AVE STE C1,CHICAGO,IL,60616,(312) 372-6707,www.asafehaven.com,contact@asafehaven.com,Solo or Small,Medium,1770199689
"A SAFE HAVEN, L.L.C.","Clinic/Center, Mental Health (Including Community Mental Health Center)",600 S WABASH AVE,CHICAGO,IL,60605,(312) 372-6707,www.asafehaven.com,contact@asafehaven.com,Solo or Small,Medium,1114533924
"A SAFE HAVEN, L.L.C.","Clinic/Center, Mental Health (Including Community Mental Health Center)",3857 W POLK ST,CHICAGO,IL,60624,(312) 372-6707,www.asafehaven.com,contact@asafehaven.com,Solo or Small,Medium,1821872565
"A SAFE HAVEN, L.L.C.","Clinic/Center, Mental Health (Including Community Mental Health Center)",7342-46 S KINGSTON,CHICAGO,IL,60649,(312) 372-6707,www.asafehaven.com,contact@asafehaven.com,Solo or Small,Medium,1386250199
"A SAFE HAVEN, L.L.C.","Clinic/Center, Mental Health (Including Community Mental Health Center)",7355 N DAMEN AVE,CHICAGO,IL,60645,(312) 372-6707,www.asafehaven.com,contact@asafehaven.com,Solo or Small,Medium,1235745142
"A SAFE HAVEN, L.L.C.","Clinic/Center, Mental Health (Including Community Mental Health Center); Clinic/Center, Adult Mental Health",17 N STATE ST STE 210,CHICAGO,IL,60602,(312) 372-6707,www.asafehaven.com,contact@asafehaven.com,Solo or Small,Medium,1528881059
"A SAFE HAVEN, L.L.C.","Clinic/Center, Mental Health (Including Community Mental Health Center); Clinic/Center, Adult Mental Health",2750 W ROOSEVELT RD,CHICAGO,IL,60608,(312) 372-6707,www.asafehaven.com,contact@asafehaven.com,Solo or Small,Medium,1568949329
A YANSSANEH PLLC,"Psychiatry & Neurology, Psychiatry",1322 S PRAIRIE AVE UNIT 1208,CHICAGO,IL,60605,(210) 995-2424,www.ayanssanehpllc.com,contact@ayanssanehpllc.com,Solo or Small,Medium,1730051194
"ABBIE KELLEY, LLC","Counselor, Mental Health",2000 N RACINE AVE SUITE 2184,CHICAGO,IL,60614,(312) 485-3669,www.abbiekelley.com,contact@abbiekelley.com,Solo or Small,Medium,1386048825
ABLE PSYCHIATRY LLC,"Psychiatry & Neurology, Psychiatry",561 W. DIVERSEY PKWY SUITE 210,CHICAGO,IL,60614,(773) 906-4546,www.ablepsychiatry.com,contact@ablepsychiatry.com,Solo or Small,Medium,1588019517
ABOVE & BEYOND FAMILY RECOVERY CENTER,"Clinic/Center, Mental Health (Including Community Mental Health Center)",2942 W LAKE ST,CHICAGO,IL,60612,(773) 940-2960,www.abovebeyondfamilyrecoverycenter.com,contact@abovebeyondfamilyrecoverycenter.com,Small Group,High,1831941582
ABOVE THE LIGHT PLLC,"Clinic/Center, Mental Health (Including Community Mental Health Center); Clinic/Center, Multi-Specialty",4143 W 59TH ST,CHICAGO,IL,60629,(312) 566-8294,www.abovethelightpllc.com,contact@abovethelightpllc.com,Solo or Small,Medium,1235796061
ABRAHAM LINCOLN CENTRE,"Case Management; Day Training, Developmentally Disabled Services",3858 S COTTAGE GROVE AVE,CHICAGO,IL,60653,(773) 285-1390,www.abrahamlincolncentre.com,contact@abrahamlincolncentre.com,Solo or Small,Medium,1578606653
ACCEPTING LLC,"Counselor, Addiction (Substance Use Disorder); Counselor, Mental Health",107 W VAN BUREN ST STE 205,CHICAGO,IL,60605,(312) 373-0782,www.accepting.com,contact@accepting.com,Solo or Small,Medium,1659885218
"ACCL, LLC","Counselor, Mental Health",1925 N MILWAUKEE AVE,CHICAGO,IL,60647,(773) 576-7032,www.accl.com,contact@accl.com,Solo or Small,Medium,1124424064
"ACTION TO HEALING, LLC","Counselor, Mental Health; Social Worker",175 N HARBOR DR APT 403,CHICAGO,IL,60601,(773) 331-3519,www.actiontohealing.com,contact@actiontohealing.com,Solo or Small,Medium,1730069683
ACTIVE THERAPIES LLC,"Counselor, Mental Health",5746 N VIRGINIA AVE,CHICAGO,IL,60659,(773) 562-3558,www.activetherapies.com,contact@activetherapies.com,Solo or Small,Medium,1427703289
"ADA S MCKINLEY COMMUNITY SERVICES, INC.","Clinic/Center, Mental Health (Including Community Mental Health Center)",2525 S MICHIGAN AVE FL 6,CHICAGO,IL,60616,(773) 918-6120,www.adasmckinleycommunityservices.com,contact@adasmckinleycommunityservices.com,Solo or Small,Medium,1881448066
"ADA S MCKINLEY COMMUNITY SERVICES, INC.","Clinic/Center, Mental Health (Including Community Mental Health Center)",8741 S GREENWOOD AVE FL 2,CHICAGO,IL,60619,(773) 780-0050,www.adasmckinleycommunityservices.com,contact@adasmckinleycommunityservices.com,Solo or Small,Medium,1073088001
ADA S MCKINLEY COMMUNITY SVCS,"Clinic/Center, Mental Health (Including Community Mental Health Center)",6033 S WENTWORTH AVE,CHICAGO,IL,60621,(773) 918-6100,www.adasmckinleycommunitysvcs.com,contact@adasmckinleycommunitysvcs.com,Solo or Small,Medium,1316718869
ADA S MCKINLEY COMMUNITY SVCS,"Clinic/Center, Mental Health (Including Community Mental Health Center)",8741 S GREENWOOD AVE FL 2,CHICAGO,IL,60619,(773) 918-6100,www.adasmckinleycommunitysvcs.com,contact@adasmckinleycommunitysvcs.com,Solo or Small,Medium,1437324100
ADA S MCKINLEY COMMUNITY SVCS,"Clinic/Center, Mental Health (Including Community Mental Health Center)",2659 W 59TH ST,CHICAGO,IL,60629,(773) 434-5577,www.adasmckinleycommunitysvcs.com,contact@adasmckinleycommunitysvcs.com,Solo or Small,Medium,1780859447
"ADA S. MCKINLEY COMMUNITY SERVICES, INC.","Clinic/Center, Mental Health (Including Community Mental Health Center)",2715 W. 63RD STREET,CHICAGO,IL,60629,(773) 918-6100,www.adasmckinleycommunityservices.com,contact@adasmckinleycommunityservices.com,Solo or Small,Medium,1841304219
"ADAPT OF ILLINOIS, INC.","Clinic/Center, Mental Health (Including Community Mental Health Center)",901 S AUSTIN BLVD,CHICAGO,IL,60644,(877) 553-9440,www.adaptofillinois.com,contact@adaptofillinois.com,Solo or Small,Medium,1811289473
"ADAPT OF ILLINOIS, INC.","Clinic/Center, Mental Health (Including Community Mental Health Center)",5838 N SHERIDAN RD,CHICAGO,IL,60660,(877) 553-9440,www.adaptofillinois.com,contact@adaptofillinois.com,Solo or Small,Medium,1174815732
ADAPT PSYCHOLOGICAL SERVICES,"Psychologist, Clinical; Clinic/Center, Mental Health (Including Community Mental Health Center)",3046 W ARMITAGE AVE,CHICAGO,IL,60647,(872) 588-6011,www.adaptpsychologicalservices.com,contact@adaptpsychologicalservices.com,Solo or Small,Medium,1073183554
ADRIANNE HARKLESS LCPC PLLC,"Clinic/Center, Mental Health (Including Community Mental Health Center)",2425 N AVERS AVE APT 1,CHICAGO,IL,60647,(724) 866-7144,www.adrianneharklesslcpcpllc.com,contact@adrianneharklesslcpcpllc.com,Solo or Small,Medium,1699390716
ADVANCED CARE SPECIALIST GROUP LLC,"Psychiatry & Neurology, Neurology",5907 W 63RD ST,CHICAGO,IL,60638,(708) 843-3308,www.advancedcarespecialistgroup.com,contact@advancedcarespecialistgroup.com,Small Group,High,1861956849
"ADVANCED PSYCHIATRY CLINICS, S.C.","Psychiatry & Neurology, Psychiatry",5519 N CUMBERLAND AVE STE 1016,CHICAGO,IL,60656,(708) 224-8840,www.advancedpsychiatryclinicssc.com,contact@advancedpsychiatryclinicssc.com,Small Group,High,1164047833
ADVOCACY & EDUCATION CONSULTING PLLC,"Counselor, Mental Health; Counselor, Professional",7132 N HARLEM AVE STE 102,CHICAGO,IL,60631,(847) 701-4533,www.advocacyeducationconsultingpllc.com,contact@advocacyeducationconsultingpllc.com,Small Group,High,1659048858
"AE COLLECTIVE, PLLC","Clinic/Center, Mental Health (Including Community Mental Health Center)",1 E ERIE ST STE 525-2824,CHICAGO,IL,60611,(773) 649-3002,www.aecollectivepllc.com,contact@aecollectivepllc.com,Solo or Small,Medium,1093523110
AFFECTIVE PSYCHIATRY PLLC,"Psychiatry & Neurology, Psychiatry",410 S MICHIGAN AVE STE 422,CHICAGO,IL,60605,(312) 248-0230,www.affectivepsychiatrypllc.com,contact@affectivepsychiatrypllc.com,Solo or Small,Medium,1790552859
AFFINITY HOLISTIC COUNSELING,"Counselor, Mental Health",3717 N RAVENSWOOD AVE STE 211,CHICAGO,IL,60613,(720) 589-1053,www.affinityholisticcounseling.com,contact@affinityholisticcounseling.com,Solo or Small,Medium,1154284271
AFTERGLOW COUNSELING LLC,"Counselor, Mental Health",6147 N SHERIDAN RD,CHICAGO,IL,60660,(219) 306-5488,www.afterglowcounseling.com,contact@afterglowcounseling.com,Solo or Small,Medium,1891415501
AHEAD ILLINOIS MEDICAL SERVICE CORPORATION,"Psychiatry & Neurology, Psychiatry",1 E ERIE ST STE 525,CHICAGO,IL,60611,(855) 306-7786,www.aheadillinoismedicalservicecorporation.com,contact@aheadillinoismedicalservicecorporation.com,Solo or Small,Medium,1598430886
AISHAH YANSSANEH LLC,"Psychiatry & Neurology, Psychiatry",155 N HARBOR DR APT 4004,CHICAGO,IL,60601,(210) 995-2424,www.aishahyanssaneh.com,contact@aishahyanssaneh.com,Solo or Small,Medium,1265150544
"ALAN H. GOLDBERG, M.D.,S.C.","Psychiatry & Neurology, Psychiatry",845 N MICHIGAN AVE #977W,CHICAGO,IL,60611,(312) 337-7654,www.alanhgoldbergmdsc.com,contact@alanhgoldbergmdsc.com,Solo or Small,Medium,1992006928
ALAN TONY AMBERG PLLC,"Psychiatry & Neurology, Psychiatry",333 N MICHIGAN AVE STE 2017,CHICAGO,IL,60601,(312) 229-0029,www.alantonyambergpllc.com,contact@alantonyambergpllc.com,Solo or Small,Medium,1922767573
ALDAD MEDICAL PC,"Psychiatry & Neurology, Psychiatry",159 N SANGAMON ST STE 200&300,CHICAGO,IL,60607,(516) 505-7200,www.aldadmedicalpc.com,contact@aldadmedicalpc.com,Solo or Small,Medium,1013514447
ALEKSANDRA STOBNICKI MD VIOLETA AVRAMOV MD SC,"Physical Therapist; Psychiatry & Neurology, Neurology",7447 W TALCOTT AVE SUITE 427,CHICAGO,IL,60631,(773) 775-2323,www.aleksandrastobnickimdvioletaavramovmdsc.com,contact@aleksandrastobnickimdvioletaavramovmdsc.com,Solo or Small,Medium,1780622266
ALEXANDER E OBOLSKY MD PC,"Psychiatry & Neurology, Psychiatry",100 W MONROE ST SUITE 1107,CHICAGO,IL,60603,(312) 456-4343,www.alexandereobolskymdpc.com,contact@alexandereobolskymdpc.com,Solo or Small,Medium,1144369927
"ALISON WEISS, MD, LLC","Psychiatry & Neurology, Psychiatry",2500 W BRADLEY PL STE 100,CHICAGO,IL,60618,(224) 306-1879,www.alisonweissmd.com,contact@alisonweissmd.com,Solo or Small,Medium,1831753086
ALL MEDICAL 1 LLC,"Psychologist, Addiction (Substance Use Disorder); Psychologist, Clinical",105 N LARAMIE AVE.,CHICAGO,IL,60644,(847) 477-7502,www.allmedical1.com,contact@allmedical1.com,Solo or Small,Medium,1215465893
ALLEN M SIEGEL MD PC,"Psychologist, Psychoanalysis; Psychologist",122 SOUTH MICHIGAN AVE 1301B,CHICAGO,IL,60603,(312) 583-0905,www.allenmsiegelmdpc.com,contact@allenmsiegelmdpc.com,Solo or Small,Medium,1407973530
ATLAS BEHAVIORAL HEALTH PLLC,"Psychologist, Cognitive & Behavioral; Psychologist, Clinical",1732 W HUBBARD ST STE 1D,CHICAGO,IL,60622,(773) 270-3795,www.atlasbehavioralhealthpllc.com,contact@atlasbehavioralhealthpllc.com,Solo or Small,Medium,1427685379
BROTHERS HEALTH COLLECTIVE,"Psychologist, Counseling; Social Worker",2929 S WABASH AVE STE 202,CHICAGO,IL,60616,(773) 824-6228,www.brothershealthcollective.com,contact@brothershealthcollective.com,Solo or Small,Medium,1487015715
BUILD QUALITY LIFE,"Psychologist, Counseling",360 E SOUTH WATER ST # 1681,CHICAGO,IL,60601,(312) 447-9906,www.buildqualitylife.com,contact@buildqualitylife.com,Solo or Small,Medium,1891502555
CENTER FOR INTERSECTIONAL WELLBEING PLLC,"Psychologist, Counseling",5153 N CLARK ST STE 306,CHICAGO,IL,60640,(872) 302-7789,www.centerforintersectionalwellbeingpllc.com,contact@centerforintersectionalwellbeingpllc.com,Small Group,High,1821817925
"COURTNEY WELLS, PHD LLC DBA PIVOT PSYCHOLOGICAL SERVICES","Social Worker, Clinical; Psychologist, Counseling",4611 N RAVENSWOOD AVE STE 201,CHICAGO,IL,60640,(312) 868-0163,www.courtneywellsphddbapivotpsychologicalservices.com,contact@courtneywellsphddbapivotpsychologicalservices.com,Solo or Small,Medium,1437860343
CRT MEDICAL PC,"Counselor; Counselor, Professional",70 E LAKE ST FLOOR 13,CHICAGO,IL,60601,(312) 726-4011,www.crtmedicalpc.com,contact@crtmedicalpc.com,Solo or Small,Medium,1881018984
FINDING PEACE THERAPY PLLC,"Counselor; Counselor, Mental Health",1023 W DAKIN ST APT 3W,CHICAGO,IL,60613,(219) 677-8414,www.findingpeacetherapypllc.com,contact@findingpeacetherapypllc.com,Solo or Small,Medium,1750268926
GILEAD BEHAVIORAL HEALTH SERVICES INC,Psychologist; Psychologist,132 E 79TH ST,CHICAGO,IL,60619,(773) 487-0515,www.gileadbehavioralhealthservices.com,contact@gileadbehavioralhealthservices.com,Solo or Small,Medium,1093728867
"INFINITE POSITIVITY, INC.","Counselor; Counselor, Mental Health",203 N WABASH AVE SUITE 2106,CHICAGO,IL,60601,(312) 890-8136,www.infinitepositivity.com,contact@infinitepositivity.com,Solo or Small,Medium,1376726398
INHERENT WORTH COUNSELING PLLC,"Psychologist, Counseling",661 W LAKE ST STE 2S,CHICAGO,IL,60661,(872) 246-0779,www.inherentworthcounselingpllc.com,contact@inherentworthcounselingpllc.com,Solo or Small,Medium,1912764390
"JOHN P FRAMPTON, PC","Psychologist, School; Social Worker, Clinical",5100 N RAVENSWOOD AVE SUITE 225,CHICAGO,IL,60640,(773) 343-7960,www.johnpframptonpc.com,contact@johnpframptonpc.com,Solo or Small,Medium,1902277247
"LIGHT ON ANXIETY, P.C.","Counselor; Counselor, Mental Health",1438 W BELMONT AVE STE 1,CHICAGO,IL,60657,(312) 508-3645,www.lightonanxietypc.com,contact@lightonanxietypc.com,Solo or Small,Medium,1619308087
LYDIA HOME ASSOCIATION,"Counselor, Mental Health; Psychologist, Clinical",4300 W IRVING PARK RD #B COUNSELING CENTER,CHICAGO,IL,60641,(773) 736-1447,www.lydiahomeassociation.com,contact@lydiahomeassociation.com,Solo or Small,Medium,1316904956
"LYON HALL SERVICES, LLC","Counselor; Counselor, Mental Health",3411 W DIVERSEY AVE STE 5-6,CHICAGO,IL,60647,(773) 888-2016,www.lyonhallservices.com,contact@lyonhallservices.com,Solo or Small,Medium,1225596612
M3 WELLNESS AND COUNSELING SERVICES INC.,"Counselor, Addiction (Substance Use Disorder); Counselor, Mental Health",1433 E 67TH PL APT 2E,CHICAGO,IL,60637,(312) 513-7752,www.m3wellnessandcounselingservices.com,contact@m3wellnessandcounselingservices.com,Solo or Small,Medium,1710747548
MINDFUL BEHAVIOR LLC,"Psychologist, Counseling",6815 W 63RD ST,CHICAGO,IL,60638,(708) 304-3010,www.mindfulbehavior.com,contact@mindfulbehavior.com,Solo or Small,Medium,1558065300
DIGITAL CARE TEAM OF OH LLC,"Counselor; Counselor, Addiction (Substance Use Disorder)",3100 E 45TH ST STE 511,CLEVELAND,OH,44127,(833) 825-5328,www.digitalcareteamofoh.com,contact@digitalcareteamofoh.com,Solo or Small,Medium,1649981887
